Request URI,Date Time,Sum of Traffic
/ncranon/sandbox/movies/e3270e9a-e256-11e4-91e9-d3719c8974e9,2015-04-30 02:43:00+0000,0
/ncranon/sandbox/movies/e3270e9a-e256-11e4-91e9-d3719c8974e9,2015-04-30 02:56:00+0000,0
/ncranon/sandbox/movies/e3270e9a-e256-11e4-91e9-d3719c8974e9,2015-04-30 03:07:00+0000,0
/ncranon/sandbox/movies/e3270e9a-e256-11e4-91e9-d3719c8974e9,2015-04-30 03:08:00+0000,0
/ncranon/sandbox/movies/e3270e9a-e256-11e4-91e9-d3719c8974e9,2015-04-30 03:13:00+0000,0
/ncranon/sandbox/movies/e3270e9a-e256-11e4-91e9-d3719c8974e9,2015-04-30 03:21:00+0000,0
/ncranon/sandbox/movies/e3270e9a-e256-11e4-91e9-d3719c8974e9,2015-04-30 03:23:00+0000,0
/ncranon/sandbox/movies/e3270e9a-e256-11e4-91e9-d3719c8974e9,2015-04-30 03:24:00+0000,0
/ncranon/sandbox/movies/e3270e9a-e256-11e4-91e9-d3719c8974e9,2015-04-30 03:25:00+0000,0
/ncranon/sandbox/movies/e3270e9a-e256-11e4-91e9-d3719c8974e9,2015-04-30 03:26:00+0000,0
/ncranon/sandbox/movies/e3270e9a-e256-11e4-91e9-d3719c8974e9,2015-04-30 03:27:00+0000,61
/ncranon/sandbox/movies/e3270e9a-e256-11e4-91e9-d3719c8974e9,2015-04-30 03:28:00+0000,24
/ncranon/sandbox/movies/e3270e9a-e256-11e4-91e9-d3719c8974e9,2015-04-30 03:29:00+0000,0
/ncranon/sandbox/movies/e3270e9a-e256-11e4-91e9-d3719c8974e9,2015-04-30 03:30:00+0000,0
/ncranon/sandbox/movies/e3270e9a-e256-11e4-91e9-d3719c8974e9,2015-04-30 03:31:00+0000,0
/ncranon/sandbox/movies/e3270e9a-e256-11e4-91e9-d3719c8974e9,2015-04-30 03:32:00+0000,0
/ncranon/sandbox/movies/e3270e9a-e256-11e4-91e9-d3719c8974e9,2015-04-30 03:33:00+0000,0
/ncranon/sandbox/movies/e3270e9a-e256-11e4-91e9-d3719c8974e9,2015-04-30 03:34:00+0000,0
/ncranon/sandbox/movies/f1bf5d8a-e257-11e4-8d8a-d75446746711,2015-04-30 02:43:00+0000,0
/ncranon/sandbox/movies/f1bf5d8a-e257-11e4-8d8a-d75446746711,2015-04-30 02:56:00+0000,0
/ncranon/sandbox/movies/f1bf5d8a-e257-11e4-8d8a-d75446746711,2015-04-30 03:07:00+0000,0
/ncranon/sandbox/movies/f1bf5d8a-e257-11e4-8d8a-d75446746711,2015-04-30 03:08:00+0000,0
/ncranon/sandbox/movies/f1bf5d8a-e257-11e4-8d8a-d75446746711,2015-04-30 03:13:00+0000,0
/ncranon/sandbox/movies/f1bf5d8a-e257-11e4-8d8a-d75446746711,2015-04-30 03:21:00+0000,0
/ncranon/sandbox/movies/f1bf5d8a-e257-11e4-8d8a-d75446746711,2015-04-30 03:23:00+0000,0
/ncranon/sandbox/movies/f1bf5d8a-e257-11e4-8d8a-d75446746711,2015-04-30 03:24:00+0000,0
/ncranon/sandbox/movies/f1bf5d8a-e257-11e4-8d8a-d75446746711,2015-04-30 03:25:00+0000,0
/ncranon/sandbox/movies/f1bf5d8a-e257-11e4-8d8a-d75446746711,2015-04-30 03:26:00+0000,0
/ncranon/sandbox/movies/f1bf5d8a-e257-11e4-8d8a-d75446746711,2015-04-30 03:27:00+0000,0
/ncranon/sandbox/movies/f1bf5d8a-e257-11e4-8d8a-d75446746711,2015-04-30 03:28:00+0000,0
/ncranon/sandbox/movies/f1bf5d8a-e257-11e4-8d8a-d75446746711,2015-04-30 03:29:00+0000,0
/ncranon/sandbox/movies/f1bf5d8a-e257-11e4-8d8a-d75446746711,2015-04-30 03:30:00+0000,0
/ncranon/sandbox/movies/f1bf5d8a-e257-11e4-8d8a-d75446746711,2015-04-30 03:31:00+0000,0
/ncranon/sandbox/movies/f1bf5d8a-e257-11e4-8d8a-d75446746711,2015-04-30 03:32:00+0000,81
/ncranon/sandbox/movies/f1bf5d8a-e257-11e4-8d8a-d75446746711,2015-04-30 03:33:00+0000,0
/ncranon/sandbox/movies/f1bf5d8a-e257-11e4-8d8a-d75446746711,2015-04-30 03:34:00+0000,0
/ncranon/sandbox/movies/2876ef0a-e258-11e4-a723-99e0c9ed142c,2015-04-30 02:43:00+0000,0
/ncranon/sandbox/movies/2876ef0a-e258-11e4-a723-99e0c9ed142c,2015-04-30 02:56:00+0000,0
/ncranon/sandbox/movies/2876ef0a-e258-11e4-a723-99e0c9ed142c,2015-04-30 03:07:00+0000,0
/ncranon/sandbox/movies/2876ef0a-e258-11e4-a723-99e0c9ed142c,2015-04-30 03:08:00+0000,0
/ncranon/sandbox/movies/2876ef0a-e258-11e4-a723-99e0c9ed142c,2015-04-30 03:13:00+0000,0
/ncranon/sandbox/movies/2876ef0a-e258-11e4-a723-99e0c9ed142c,2015-04-30 03:21:00+0000,0
/ncranon/sandbox/movies/2876ef0a-e258-11e4-a723-99e0c9ed142c,2015-04-30 03:23:00+0000,0
/ncranon/sandbox/movies/2876ef0a-e258-11e4-a723-99e0c9ed142c,2015-04-30 03:24:00+0000,0
/ncranon/sandbox/movies/2876ef0a-e258-11e4-a723-99e0c9ed142c,2015-04-30 03:25:00+0000,0
/ncranon/sandbox/movies/2876ef0a-e258-11e4-a723-99e0c9ed142c,2015-04-30 03:26:00+0000,0
/ncranon/sandbox/movies/2876ef0a-e258-11e4-a723-99e0c9ed142c,2015-04-30 03:27:00+0000,0
/ncranon/sandbox/movies/2876ef0a-e258-11e4-a723-99e0c9ed142c,2015-04-30 03:28:00+0000,0
/ncranon/sandbox/movies/2876ef0a-e258-11e4-a723-99e0c9ed142c,2015-04-30 03:29:00+0000,0
/ncranon/sandbox/movies/2876ef0a-e258-11e4-a723-99e0c9ed142c,2015-04-30 03:30:00+0000,0
/ncranon/sandbox/movies/2876ef0a-e258-11e4-a723-99e0c9ed142c,2015-04-30 03:31:00+0000,0
/ncranon/sandbox/movies/2876ef0a-e258-11e4-a723-99e0c9ed142c,2015-04-30 03:32:00+0000,0
/ncranon/sandbox/movies/2876ef0a-e258-11e4-a723-99e0c9ed142c,2015-04-30 03:33:00+0000,78
/ncranon/sandbox/movies/2876ef0a-e258-11e4-a723-99e0c9ed142c,2015-04-30 03:34:00+0000,0
/ncranon/sandbox/movies/0e5681ea-e257-11e4-9037-bb93d0c9588c,2015-04-30 02:43:00+0000,0
/ncranon/sandbox/movies/0e5681ea-e257-11e4-9037-bb93d0c9588c,2015-04-30 02:56:00+0000,0
/ncranon/sandbox/movies/0e5681ea-e257-11e4-9037-bb93d0c9588c,2015-04-30 03:07:00+0000,0
/ncranon/sandbox/movies/0e5681ea-e257-11e4-9037-bb93d0c9588c,2015-04-30 03:08:00+0000,0
/ncranon/sandbox/movies/0e5681ea-e257-11e4-9037-bb93d0c9588c,2015-04-30 03:13:00+0000,0
/ncranon/sandbox/movies/0e5681ea-e257-11e4-9037-bb93d0c9588c,2015-04-30 03:21:00+0000,0
/ncranon/sandbox/movies/0e5681ea-e257-11e4-9037-bb93d0c9588c,2015-04-30 03:23:00+0000,0
/ncranon/sandbox/movies/0e5681ea-e257-11e4-9037-bb93d0c9588c,2015-04-30 03:24:00+0000,0
/ncranon/sandbox/movies/0e5681ea-e257-11e4-9037-bb93d0c9588c,2015-04-30 03:25:00+0000,0
/ncranon/sandbox/movies/0e5681ea-e257-11e4-9037-bb93d0c9588c,2015-04-30 03:26:00+0000,0
/ncranon/sandbox/movies/0e5681ea-e257-11e4-9037-bb93d0c9588c,2015-04-30 03:27:00+0000,0
/ncranon/sandbox/movies/0e5681ea-e257-11e4-9037-bb93d0c9588c,2015-04-30 03:28:00+0000,0
/ncranon/sandbox/movies/0e5681ea-e257-11e4-9037-bb93d0c9588c,2015-04-30 03:29:00+0000,75
/ncranon/sandbox/movies/0e5681ea-e257-11e4-9037-bb93d0c9588c,2015-04-30 03:30:00+0000,0
/ncranon/sandbox/movies/0e5681ea-e257-11e4-9037-bb93d0c9588c,2015-04-30 03:31:00+0000,0
/ncranon/sandbox/movies/0e5681ea-e257-11e4-9037-bb93d0c9588c,2015-04-30 03:32:00+0000,0
/ncranon/sandbox/movies/0e5681ea-e257-11e4-9037-bb93d0c9588c,2015-04-30 03:33:00+0000,0
/ncranon/sandbox/movies/0e5681ea-e257-11e4-9037-bb93d0c9588c,2015-04-30 03:34:00+0000,0
/ncranon/sandbox/movies/eceaaf7a-e311-11e4-ad20-c73f0c28071d,2015-04-30 02:43:00+0000,0
/ncranon/sandbox/movies/eceaaf7a-e311-11e4-ad20-c73f0c28071d,2015-04-30 02:56:00+0000,0
/ncranon/sandbox/movies/eceaaf7a-e311-11e4-ad20-c73f0c28071d,2015-04-30 03:07:00+0000,0
/ncranon/sandbox/movies/eceaaf7a-e311-11e4-ad20-c73f0c28071d,2015-04-30 03:08:00+0000,0
/ncranon/sandbox/movies/eceaaf7a-e311-11e4-ad20-c73f0c28071d,2015-04-30 03:13:00+0000,0
/ncranon/sandbox/movies/eceaaf7a-e311-11e4-ad20-c73f0c28071d,2015-04-30 03:21:00+0000,0
/ncranon/sandbox/movies/eceaaf7a-e311-11e4-ad20-c73f0c28071d,2015-04-30 03:23:00+0000,0
/ncranon/sandbox/movies/eceaaf7a-e311-11e4-ad20-c73f0c28071d,2015-04-30 03:24:00+0000,0
/ncranon/sandbox/movies/eceaaf7a-e311-11e4-ad20-c73f0c28071d,2015-04-30 03:25:00+0000,0
/ncranon/sandbox/movies/eceaaf7a-e311-11e4-ad20-c73f0c28071d,2015-04-30 03:26:00+0000,0
/ncranon/sandbox/movies/eceaaf7a-e311-11e4-ad20-c73f0c28071d,2015-04-30 03:27:00+0000,0
/ncranon/sandbox/movies/eceaaf7a-e311-11e4-ad20-c73f0c28071d,2015-04-30 03:28:00+0000,0
/ncranon/sandbox/movies/eceaaf7a-e311-11e4-ad20-c73f0c28071d,2015-04-30 03:29:00+0000,0
/ncranon/sandbox/movies/eceaaf7a-e311-11e4-ad20-c73f0c28071d,2015-04-30 03:30:00+0000,0
/ncranon/sandbox/movies/eceaaf7a-e311-11e4-ad20-c73f0c28071d,2015-04-30 03:31:00+0000,0
/ncranon/sandbox/movies/eceaaf7a-e311-11e4-ad20-c73f0c28071d,2015-04-30 03:32:00+0000,0
/ncranon/sandbox/movies/eceaaf7a-e311-11e4-ad20-c73f0c28071d,2015-04-30 03:33:00+0000,0
/ncranon/sandbox/movies/eceaaf7a-e311-11e4-ad20-c73f0c28071d,2015-04-30 03:34:00+0000,70
/ncranon/sandbox/movies/a92de6aa-e256-11e4-8647-89d504b3e029,2015-04-30 02:43:00+0000,0
/ncranon/sandbox/movies/a92de6aa-e256-11e4-8647-89d504b3e029,2015-04-30 02:56:00+0000,0
/ncranon/sandbox/movies/a92de6aa-e256-11e4-8647-89d504b3e029,2015-04-30 03:07:00+0000,0
/ncranon/sandbox/movies/a92de6aa-e256-11e4-8647-89d504b3e029,2015-04-30 03:08:00+0000,0
/ncranon/sandbox/movies/a92de6aa-e256-11e4-8647-89d504b3e029,2015-04-30 03:13:00+0000,0
/ncranon/sandbox/movies/a92de6aa-e256-11e4-8647-89d504b3e029,2015-04-30 03:21:00+0000,0
/ncranon/sandbox/movies/a92de6aa-e256-11e4-8647-89d504b3e029,2015-04-30 03:23:00+0000,0
/ncranon/sandbox/movies/a92de6aa-e256-11e4-8647-89d504b3e029,2015-04-30 03:24:00+0000,0
/ncranon/sandbox/movies/a92de6aa-e256-11e4-8647-89d504b3e029,2015-04-30 03:25:00+0000,0
/ncranon/sandbox/movies/a92de6aa-e256-11e4-8647-89d504b3e029,2015-04-30 03:26:00+0000,65
/ncranon/sandbox/movies/a92de6aa-e256-11e4-8647-89d504b3e029,2015-04-30 03:27:00+0000,0
/ncranon/sandbox/movies/a92de6aa-e256-11e4-8647-89d504b3e029,2015-04-30 03:28:00+0000,0
/ncranon/sandbox/movies/a92de6aa-e256-11e4-8647-89d504b3e029,2015-04-30 03:29:00+0000,0
/ncranon/sandbox/movies/a92de6aa-e256-11e4-8647-89d504b3e029,2015-04-30 03:30:00+0000,0
/ncranon/sandbox/movies/a92de6aa-e256-11e4-8647-89d504b3e029,2015-04-30 03:31:00+0000,0
/ncranon/sandbox/movies/a92de6aa-e256-11e4-8647-89d504b3e029,2015-04-30 03:32:00+0000,0
/ncranon/sandbox/movies/a92de6aa-e256-11e4-8647-89d504b3e029,2015-04-30 03:33:00+0000,0
/ncranon/sandbox/movies/a92de6aa-e256-11e4-8647-89d504b3e029,2015-04-30 03:34:00+0000,0
/ncranon/sandbox/movies/2da52fba-e257-11e4-8156-891fee52ddb5,2015-04-30 02:43:00+0000,0
/ncranon/sandbox/movies/2da52fba-e257-11e4-8156-891fee52ddb5,2015-04-30 02:56:00+0000,0
/ncranon/sandbox/movies/2da52fba-e257-11e4-8156-891fee52ddb5,2015-04-30 03:07:00+0000,0
/ncranon/sandbox/movies/2da52fba-e257-11e4-8156-891fee52ddb5,2015-04-30 03:08:00+0000,0
/ncranon/sandbox/movies/2da52fba-e257-11e4-8156-891fee52ddb5,2015-04-30 03:13:00+0000,0
/ncranon/sandbox/movies/2da52fba-e257-11e4-8156-891fee52ddb5,2015-04-30 03:21:00+0000,0
/ncranon/sandbox/movies/2da52fba-e257-11e4-8156-891fee52ddb5,2015-04-30 03:23:00+0000,0
/ncranon/sandbox/movies/2da52fba-e257-11e4-8156-891fee52ddb5,2015-04-30 03:24:00+0000,0
/ncranon/sandbox/movies/2da52fba-e257-11e4-8156-891fee52ddb5,2015-04-30 03:25:00+0000,0
/ncranon/sandbox/movies/2da52fba-e257-11e4-8156-891fee52ddb5,2015-04-30 03:26:00+0000,0
/ncranon/sandbox/movies/2da52fba-e257-11e4-8156-891fee52ddb5,2015-04-30 03:27:00+0000,0
/ncranon/sandbox/movies/2da52fba-e257-11e4-8156-891fee52ddb5,2015-04-30 03:28:00+0000,0
/ncranon/sandbox/movies/2da52fba-e257-11e4-8156-891fee52ddb5,2015-04-30 03:29:00+0000,0
/ncranon/sandbox/movies/2da52fba-e257-11e4-8156-891fee52ddb5,2015-04-30 03:30:00+0000,57
/ncranon/sandbox/movies/2da52fba-e257-11e4-8156-891fee52ddb5,2015-04-30 03:31:00+0000,0
/ncranon/sandbox/movies/2da52fba-e257-11e4-8156-891fee52ddb5,2015-04-30 03:32:00+0000,0
/ncranon/sandbox/movies/2da52fba-e257-11e4-8156-891fee52ddb5,2015-04-30 03:33:00+0000,0
/ncranon/sandbox/movies/2da52fba-e257-11e4-8156-891fee52ddb5,2015-04-30 03:34:00+0000,0
/ncranon/sandbox/movies/d468610a-e257-11e4-963f-47148c0aa044,2015-04-30 02:43:00+0000,0
/ncranon/sandbox/movies/d468610a-e257-11e4-963f-47148c0aa044,2015-04-30 02:56:00+0000,0
/ncranon/sandbox/movies/d468610a-e257-11e4-963f-47148c0aa044,2015-04-30 03:07:00+0000,0
/ncranon/sandbox/movies/d468610a-e257-11e4-963f-47148c0aa044,2015-04-30 03:08:00+0000,0
/ncranon/sandbox/movies/d468610a-e257-11e4-963f-47148c0aa044,2015-04-30 03:13:00+0000,0
/ncranon/sandbox/movies/d468610a-e257-11e4-963f-47148c0aa044,2015-04-30 03:21:00+0000,0
/ncranon/sandbox/movies/d468610a-e257-11e4-963f-47148c0aa044,2015-04-30 03:23:00+0000,0
/ncranon/sandbox/movies/d468610a-e257-11e4-963f-47148c0aa044,2015-04-30 03:24:00+0000,0
/ncranon/sandbox/movies/d468610a-e257-11e4-963f-47148c0aa044,2015-04-30 03:25:00+0000,0
/ncranon/sandbox/movies/d468610a-e257-11e4-963f-47148c0aa044,2015-04-30 03:26:00+0000,0
/ncranon/sandbox/movies/d468610a-e257-11e4-963f-47148c0aa044,2015-04-30 03:27:00+0000,0
/ncranon/sandbox/movies/d468610a-e257-11e4-963f-47148c0aa044,2015-04-30 03:28:00+0000,0
/ncranon/sandbox/movies/d468610a-e257-11e4-963f-47148c0aa044,2015-04-30 03:29:00+0000,0
/ncranon/sandbox/movies/d468610a-e257-11e4-963f-47148c0aa044,2015-04-30 03:30:00+0000,0
/ncranon/sandbox/movies/d468610a-e257-11e4-963f-47148c0aa044,2015-04-30 03:31:00+0000,0
/ncranon/sandbox/movies/d468610a-e257-11e4-963f-47148c0aa044,2015-04-30 03:32:00+0000,53
/ncranon/sandbox/movies/d468610a-e257-11e4-963f-47148c0aa044,2015-04-30 03:33:00+0000,0
/ncranon/sandbox/movies/d468610a-e257-11e4-963f-47148c0aa044,2015-04-30 03:34:00+0000,0
/ncranon/sandbox/movies/b626dd7a-e257-11e4-8bc4-4592b4f90116,2015-04-30 02:43:00+0000,0
/ncranon/sandbox/movies/b626dd7a-e257-11e4-8bc4-4592b4f90116,2015-04-30 02:56:00+0000,0
/ncranon/sandbox/movies/b626dd7a-e257-11e4-8bc4-4592b4f90116,2015-04-30 03:07:00+0000,0
/ncranon/sandbox/movies/b626dd7a-e257-11e4-8bc4-4592b4f90116,2015-04-30 03:08:00+0000,0
/ncranon/sandbox/movies/b626dd7a-e257-11e4-8bc4-4592b4f90116,2015-04-30 03:13:00+0000,0
/ncranon/sandbox/movies/b626dd7a-e257-11e4-8bc4-4592b4f90116,2015-04-30 03:21:00+0000,0
/ncranon/sandbox/movies/b626dd7a-e257-11e4-8bc4-4592b4f90116,2015-04-30 03:23:00+0000,0
/ncranon/sandbox/movies/b626dd7a-e257-11e4-8bc4-4592b4f90116,2015-04-30 03:24:00+0000,0
/ncranon/sandbox/movies/b626dd7a-e257-11e4-8bc4-4592b4f90116,2015-04-30 03:25:00+0000,0
/ncranon/sandbox/movies/b626dd7a-e257-11e4-8bc4-4592b4f90116,2015-04-30 03:26:00+0000,0
/ncranon/sandbox/movies/b626dd7a-e257-11e4-8bc4-4592b4f90116,2015-04-30 03:27:00+0000,0
/ncranon/sandbox/movies/b626dd7a-e257-11e4-8bc4-4592b4f90116,2015-04-30 03:28:00+0000,0
/ncranon/sandbox/movies/b626dd7a-e257-11e4-8bc4-4592b4f90116,2015-04-30 03:29:00+0000,0
/ncranon/sandbox/movies/b626dd7a-e257-11e4-8bc4-4592b4f90116,2015-04-30 03:30:00+0000,0
/ncranon/sandbox/movies/b626dd7a-e257-11e4-8bc4-4592b4f90116,2015-04-30 03:31:00+0000,0
/ncranon/sandbox/movies/b626dd7a-e257-11e4-8bc4-4592b4f90116,2015-04-30 03:32:00+0000,52
/ncranon/sandbox/movies/b626dd7a-e257-11e4-8bc4-4592b4f90116,2015-04-30 03:33:00+0000,0
/ncranon/sandbox/movies/b626dd7a-e257-11e4-8bc4-4592b4f90116,2015-04-30 03:34:00+0000,0
/ncranon/sandbox/movies/0af475ba-e258-11e4-9256-876a26f7a30c,2015-04-30 02:43:00+0000,0
/ncranon/sandbox/movies/0af475ba-e258-11e4-9256-876a26f7a30c,2015-04-30 02:56:00+0000,0
/ncranon/sandbox/movies/0af475ba-e258-11e4-9256-876a26f7a30c,2015-04-30 03:07:00+0000,0
/ncranon/sandbox/movies/0af475ba-e258-11e4-9256-876a26f7a30c,2015-04-30 03:08:00+0000,0
/ncranon/sandbox/movies/0af475ba-e258-11e4-9256-876a26f7a30c,2015-04-30 03:13:00+0000,0
/ncranon/sandbox/movies/0af475ba-e258-11e4-9256-876a26f7a30c,2015-04-30 03:21:00+0000,0
/ncranon/sandbox/movies/0af475ba-e258-11e4-9256-876a26f7a30c,2015-04-30 03:23:00+0000,0
/ncranon/sandbox/movies/0af475ba-e258-11e4-9256-876a26f7a30c,2015-04-30 03:24:00+0000,0
/ncranon/sandbox/movies/0af475ba-e258-11e4-9256-876a26f7a30c,2015-04-30 03:25:00+0000,0
/ncranon/sandbox/movies/0af475ba-e258-11e4-9256-876a26f7a30c,2015-04-30 03:26:00+0000,0
/ncranon/sandbox/movies/0af475ba-e258-11e4-9256-876a26f7a30c,2015-04-30 03:27:00+0000,0
/ncranon/sandbox/movies/0af475ba-e258-11e4-9256-876a26f7a30c,2015-04-30 03:28:00+0000,0
/ncranon/sandbox/movies/0af475ba-e258-11e4-9256-876a26f7a30c,2015-04-30 03:29:00+0000,0
/ncranon/sandbox/movies/0af475ba-e258-11e4-9256-876a26f7a30c,2015-04-30 03:30:00+0000,0
/ncranon/sandbox/movies/0af475ba-e258-11e4-9256-876a26f7a30c,2015-04-30 03:31:00+0000,0
/ncranon/sandbox/movies/0af475ba-e258-11e4-9256-876a26f7a30c,2015-04-30 03:32:00+0000,0
/ncranon/sandbox/movies/0af475ba-e258-11e4-9256-876a26f7a30c,2015-04-30 03:33:00+0000,51
